group,dom_bucket,interval,dom_correction,n_obs
D,mid,07:00,1.0308181350003813,27
D,mid,07:30,1.0173166695239282,27
D,mid,08:00,1.0030561398902647,27
D,mid,08:30,0.9960984827111744,27
D,mid,09:00,0.9872241562151989,27
D,mid,09:30,0.9936538358265959,27
D,mid,10:00,0.9898772356928969,27
D,mid,10:30,1.0179036754405315,27
D,mid,11:00,0.9897343752005928,27
D,mid,11:30,0.9804146232885204,27
D,mid,12:00,0.9930504500567037,27
D,mid,12:30,0.9902872990760916,27
D,mid,13:00,0.9965187504035997,27
D,mid,13:30,0.9821471898756954,27
D,mid,14:00,0.9828699147107938,27
D,mid,14:30,1.000414256111784,27
D,mid,15:00,0.9887114459057535,27
D,mid,15:30,1.009434151725479,27
D,mid,16:00,1.0045205893804254,27
D,mid,16:30,1.0027002457253258,27
D,mid,17:00,0.9953189925456575,27
D,mid,17:30,0.9888513067551785,27
D,mid,18:00,0.999804203355941,27
D,mid,18:30,1.0198965670620594,27
D,mid,19:00,1.0132483881992689,27
D,mid,19:30,1.0025733303991862,27
D,mid,20:00,0.9996632066207368,27
D,mid,20:30,1.0068220026326808,27
D,mid,21:00,1.0013572318761463,27
D,mid,21:30,1.0332298497740309,27
D,mid,22:00,1.029491476428917,27
D,mid,22:30,1.0241959993918985,27
D,mid,23:00,1.0335508394152217,27
D,mid,23:30,1.0689717272641297,27
